latitude,longitude,start_date,end_date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
7.93931,3.46922,01/11/2023,07/11/2023,,574.2498817,0.112721893,2.825443787,22.12295858,0.735266272,19.2347929,42.26633136,1.373550296
7.85498,3.68458,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.8996,3.46876,01/11/2023,07/11/2023,,574.2498817,0.112721893,2.825443787,22.12295858,0.735266272,19.2347929,42.26633136,1.373550296
7.85676,3.6103,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.84119,3.64621,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.9467,3.68137,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.8098,3.63199,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.96574,3.67782,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
8.02843,3.65422,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.78181,3.50315,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.98917,3.54761,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.72507,3.32474,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.87143,3.56277,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.76639,3.38813,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
8.02671,3.65572,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.91584,3.57606,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
8.00449,3.61424,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.80971,3.55601,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.89091,3.42295,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.8908,3.42154,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.86393,3.46803,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
8.02825,3.65452,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.77208,3.70653,01/11/2023,07/11/2023,,895.7315385,0.219467456,6.985621302,22.82704142,1.688994083,32.25591716,61.77863905,2.904319527
7.92289,3.53812,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.68731,3.38671,01/11/2023,07/11/2023,,640.7304734,0.040236686,3.475680473,25.43899408,1.505088757,21.67816568,50.16497041,1.848816568
8.02554,3.71088,01/11/2023,07/11/2023,,801.3235503,0.066923077,5.16739645,22.90940828,1.201242604,29.55076923,61.15390533,2.154970414
7.81435,3.60879,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.95359,3.5562,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.9392,3.70018,01/11/2023,07/11/2023,,801.3235503,0.066923077,5.16739645,22.90940828,1.201242604,29.55076923,61.15390533,2.154970414
7.80509,3.54326,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.99057,3.54448,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.89655,3.4643,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.7863,3.35909,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.75893,3.45726,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.80819,3.60054,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.91056,3.61705,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
